Models,Engine Size,Fuel,Engine Code,Years,
Ford Tourneo / Grand Tourneo Komb,1.5 litre,Diesel,"XWGA, XWGB",2015 - Current,
Ford Tourneo Custom Bus,2.0 litre,Diesel,"YLF6, YLFS, YMFS, YNF6, YNFS",2015 - Current,
Ford Tourneo / Grand Tourneo Kombi,1.5 litre,Diesel,"XUGA, XVGA, XVGB, XVGC",2015 - Current,
Ford Transit Mark 2,2.5 litre,Diesel,4AB,1983 - 1991,
Ford Transit Mark 2,2.4 litre,Diesel,"4AB, 4AA",1977 - 1986,
Ford Transit Mark 2,1.6 litre,Petrol,"4RB, B",1977 - 1986,
Ford Transit Mark 2,2.0 litre,Petrol,"4RB, B, 4RC",1977 - 1986,
Ford Transit Mark 3,2.0 litre,Petrol,"NAT, NAV",1985 - 1992,
Ford Transit Mark 3,2.5 litre,Diesel,"4AB, 4BA, 4CA",1983 - 1992,
Ford Transit Mark 3,2.0 litre,Petrol,"N6T,ÿNAW",1985 - 1992,
Ford Transit Mark 3,1.6 litre,Petrol,"N6T, NAW, LAT",1985 - 1992,
Ford Transit Mark 4,2.5 litre,Diesel,"4BC, 4CC, 4DA, 4EA, 4FA, 4GA, 4GB, 4GC",1991 - 2000,
Ford Transit Mark 4,2.9 litre,Petrol,"4BC, 4CC, 4DA, 4EA, 4FA, 4GA, 4GB, 4GC, BRT",1991 - 1994,
Ford Transit Mark 4,2.0 litre,Petrol,"4BC, 4CC, 4DA, 4EA, 4FA, 4GA, 4GB, 4GC, BRT, NBA",1991 - 1994,
Ford Transit Mark 4,2.0 litre,Petrol,"4BC, 4CC, 4DA, 4EA, 4FA, 4GA, 4GB, 4GC, BRT, NBA, NCA",1991 - 1994,
